"","DREB_DIFF","WL"
"1",-9,0
"2",-1,1
"3",-2,1
"4",-1,1
"5",-16,0
"6",-4,1
"7",-6,0
"8",6,1
"9",5,1
"10",7,1
"11",-3,0
"12",0,1
"13",-2,1
"14",0,0
"15",-13,0
"16",-3,0
"17",-5,1
"18",-10,0
"19",-17,0
"20",9,1
"21",-5,0
"22",-14,0
"23",-13,0
"24",9,1
"25",-6,0
"26",8,1
"27",16,1
"28",1,0
"29",3,0
"30",4,1
"31",-6,0
"32",-1,0
"33",6,1
"34",-2,0
"35",12,1
"36",7,1
"37",-13,1
"38",-2,1
"39",11,1
"40",10,1
"41",-9,0
"42",13,1
"43",3,1
"44",-1,1
"45",7,1
"46",5,0
"47",4,1
"48",-17,0
"49",4,1
"50",-2,1
"51",2,0
"52",-10,0
"53",-1,1
"54",1,1
"55",9,1
"56",6,1
"57",-5,0
"58",-7,1
"59",0,1
"60",-13,0
"61",7,1
"62",2,1
"63",-3,1
"64",-6,1
"65",1,1
"66",-16,0
"67",1,1
"68",4,1
"69",2,1
"70",-4,0
"71",-4,0
"72",5,1
"73",1,1
"74",-4,0
"75",6,1
"76",1,1
"77",-1,1
"78",-6,0
"79",10,1
"80",2,1
"81",18,1
"82",5,1
