,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
0,22021,1610612742,DAL,Dallas Mavericks,0022101219,2022-04-10,DAL vs. SAS,W,240,130,46,85,0.541,20,36,0.556,18,23,0.783,10,33,43,34,5,3,16,16,10.0
1,22021,1610612742,DAL,Dallas Mavericks,0022101209,2022-04-08,DAL vs. POR,W,241,128,42,79,0.532,20,45,0.444,24,31,0.774,9,42,51,25,9,5,14,19,50.0
2,22021,1610612742,DAL,Dallas Mavericks,0022101190,2022-04-06,DAL @ DET,W,238,131,45,80,0.563,15,33,0.455,26,34,0.765,8,33,41,28,8,1,10,24,18.0
3,22021,1610612742,DAL,Dallas Mavericks,0022101167,2022-04-03,DAL @ MIL,W,239,118,39,76,0.513,16,38,0.421,24,27,0.889,2,36,38,28,7,3,12,20,6.0
4,22021,1610612742,DAL,Dallas Mavericks,0022101152,2022-04-01,DAL @ WAS,L,239,103,34,78,0.436,11,38,0.289,24,26,0.923,5,31,36,14,3,3,13,16,-32.0
5,22021,1610612742,DAL,Dallas Mavericks,0022101136,2022-03-30,DAL @ CLE,W,241,120,46,88,0.523,16,42,0.381,12,15,0.8,9,29,38,28,6,6,11,17,8.0
6,22021,1610612742,DAL,Dallas Mavericks,0022101134,2022-03-29,DAL vs. LAL,W,241,128,45,87,0.517,20,46,0.435,18,23,0.783,11,35,46,27,5,1,7,14,18.0
7,22021,1610612742,DAL,Dallas Mavericks,0022101121,2022-03-27,DAL vs. UTA,W,242,114,40,77,0.519,17,34,0.5,17,24,0.708,10,35,45,21,3,2,8,13,14.0
8,22021,1610612742,DAL,Dallas Mavericks,0022101104,2022-03-25,DAL @ MIN,L,240,95,35,90,0.389,10,43,0.233,15,19,0.789,10,35,45,21,4,5,10,19,-21.0
9,22021,1610612742,DAL,Dallas Mavericks,0022101092,2022-03-23,DAL vs. HOU,W,240,110,42,86,0.488,8,33,0.242,18,22,0.818,8,34,42,24,9,1,12,24,19.0
10,22021,1610612742,DAL,Dallas Mavericks,0022101079,2022-03-21,DAL vs. MIN,W,241,110,40,83,0.482,14,46,0.304,16,21,0.762,7,40,47,27,5,3,11,21,2.0
11,22021,1610612742,DAL,Dallas Mavericks,0022101059,2022-03-19,DAL @ CHA,L,241,108,39,89,0.438,14,38,0.368,16,20,0.8,12,32,44,18,4,4,13,26,-21.0
12,22021,1610612742,DAL,Dallas Mavericks,0022101046,2022-03-18,DAL @ PHI,L,241,101,37,80,0.463,12,32,0.375,15,21,0.714,11,29,40,21,4,3,12,17,-10.0
13,22021,1610612742,DAL,Dallas Mavericks,0022101036,2022-03-16,DAL @ BKN,W,239,113,41,83,0.494,12,34,0.353,19,19,1.0,9,28,37,21,5,2,10,17,2.0
14,22021,1610612742,DAL,Dallas Mavericks,0022101014,2022-03-13,DAL @ BOS,W,241,95,33,74,0.446,15,37,0.405,14,19,0.737,4,38,42,20,7,5,17,16,3.0
15,22021,1610612742,DAL,Dallas Mavericks,0022100999,2022-03-11,DAL @ HOU,W,240,113,40,88,0.455,11,36,0.306,22,28,0.786,12,35,47,20,6,8,13,21,13.0
16,22021,1610612742,DAL,Dallas Mavericks,0022100988,2022-03-09,DAL vs. NYK,L,241,77,27,86,0.314,6,44,0.136,17,25,0.68,12,25,37,11,3,4,8,24,-30.0
17,22021,1610612742,DAL,Dallas Mavericks,0022100972,2022-03-07,DAL vs. UTA,W,239,111,39,88,0.443,17,46,0.37,16,20,0.8,9,34,43,19,9,5,9,21,8.0
18,22021,1610612742,DAL,Dallas Mavericks,0022100954,2022-03-05,DAL vs. SAC,W,241,114,40,84,0.476,14,36,0.389,20,27,0.741,10,29,39,22,7,2,10,22,1.0
19,22021,1610612742,DAL,Dallas Mavericks,0022100943,2022-03-03,DAL vs. GSW,W,240,122,45,85,0.529,17,37,0.459,15,20,0.75,8,24,32,29,7,1,9,16,9.0
20,22021,1610612742,DAL,Dallas Mavericks,0022100931,2022-03-01,DAL @ LAL,W,239,109,41,82,0.5,10,35,0.286,17,27,0.63,10,35,45,24,8,7,13,19,5.0
21,22021,1610612742,DAL,Dallas Mavericks,0022100917,2022-02-27,DAL @ GSW,W,240,107,39,78,0.5,13,34,0.382,16,20,0.8,6,39,45,16,5,7,18,18,6.0
22,22021,1610612742,DAL,Dallas Mavericks,0022100903,2022-02-25,DAL @ UTA,L,241,109,42,88,0.477,17,39,0.436,8,8,1.0,8,22,30,22,9,3,11,21,-5.0
23,22021,1610612742,DAL,Dallas Mavericks,0022100886,2022-02-17,DAL @ NOP,W,239,125,44,82,0.537,19,40,0.475,18,25,0.72,7,31,38,18,5,4,8,22,7.0
24,22021,1610612742,DAL,Dallas Mavericks,0022100868,2022-02-15,DAL @ MIA,W,240,107,34,76,0.447,18,41,0.439,21,33,0.636,12,26,38,27,5,7,8,26,8.0
25,22021,1610612742,DAL,Dallas Mavericks,0022100853,2022-02-12,DAL vs. LAC,L,239,97,35,85,0.412,15,39,0.385,12,19,0.632,13,31,44,16,4,0,14,17,-2.0
26,22021,1610612742,DAL,Dallas Mavericks,0022100835,2022-02-10,DAL vs. LAC,W,240,112,38,78,0.487,13,39,0.333,23,27,0.852,8,33,41,19,4,3,13,23,7.0
27,22021,1610612742,DAL,Dallas Mavericks,0022100820,2022-02-08,DAL vs. DET,W,241,116,40,79,0.506,18,36,0.5,18,23,0.783,6,41,47,24,10,5,13,18,30.0
28,22021,1610612742,DAL,Dallas Mavericks,0022100807,2022-02-06,DAL vs. ATL,W,239,103,38,88,0.432,16,36,0.444,11,13,0.846,12,36,48,25,8,5,14,25,9.0
29,22021,1610612742,DAL,Dallas Mavericks,0022100791,2022-02-04,DAL vs. PHI,W,239,107,39,85,0.459,10,34,0.294,19,23,0.826,11,29,40,22,8,0,10,18,9.0
30,22021,1610612742,DAL,Dallas Mavericks,0022100778,2022-02-02,DAL vs. OKC,L,266,114,46,98,0.469,14,43,0.326,8,10,0.8,13,26,39,28,12,8,13,21,-6.0
